127.0.0.1 - - [07/Jul/2024:18:31:46 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:39:33 +0530] "GET /my-fashion-app/images/footer/googleplay-btn.svg HTTP/1.1" 200 9502
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:39:33 +0530] "GET /my-fashion-app/images/footer/mastercard.svg HTTP/1.1" 200 12102
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:39:33 +0530] "GET /my-fashion-app/images/footer/appstore-btn.svg HTTP/1.1" 200 12812
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:39:33 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:41:26 +0530] "GET /my-fashion-app/wishlist.jsp HTTP/1.1" 200 30244
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:41:26 +0530] "GET /my-fashion-app/other/stylesheet.css?modified=20012009 HTTP/1.1" 200 5778
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:41:26 +0530] "GET /my-fashion-app/javascript/main.js HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:41:26 +0530] "GET /my-fashion-app/other/addtocart.css HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:41:26 +0530] "GET /my-fashion-app/img/product/co-ord1.png HTTP/1.1" 200 213589
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:41:26 +0530] "GET /my-fashion-app/img/product/denime1.png HTTP/1.1" 200 129038
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:41:26 +0530] "GET /my-fashion-app/img/product/denime2.png HTTP/1.1" 200 114712
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:41:26 +0530] "GET /my-fashion-app/img/product/dress1.png HTTP/1.1" 200 237084
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:41:26 +0530] "GET /my-fashion-app/images/footer/amazonpay.svg HTTP/1.1" 200 8763
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:41:26 +0530] "GET /my-fashion-app/images/footer/american-express.svg HTTP/1.1" 200 12734
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:41:26 +0530] "GET /my-fashion-app/images/footer/paypal.svg HTTP/1.1" 200 5586
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:41:26 +0530] "GET /my-fashion-app/images/footer/mastercard.svg HTTP/1.1" 200 12102
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:41:26 +0530] "GET /my-fashion-app/images/footer/visa.svg HTTP/1.1" 200 3371
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:41:26 +0530] "GET /my-fashion-app/images/footer/appstore-btn.svg HTTP/1.1" 200 12812
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:41:26 +0530] "GET /my-fashion-app/images/footer/googleplay-btn.svg HTTP/1.1" 200 9502
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:41:27 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:44:07 +0530] "GET /my-fashion-app/wishlist.jsp HTTP/1.1" 200 30243
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:44:07 +0530] "GET /my-fashion-app/other/stylesheet.css?modified=20012009 HTTP/1.1" 200 5778
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:44:07 +0530] "GET /my-fashion-app/javascript/main.js HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:44:07 +0530] "GET /my-fashion-app/img/product/co-ord1.png HTTP/1.1" 200 213589
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:44:07 +0530] "GET /my-fashion-app/img/product/denime1.png HTTP/1.1" 200 129038
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:44:07 +0530] "GET /my-fashion-app/other/wishlist.css HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:44:07 +0530] "GET /my-fashion-app/img/product/denime2.png HTTP/1.1" 200 114712
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:44:07 +0530] "GET /my-fashion-app/img/product/dress1.png HTTP/1.1" 200 237084
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:44:07 +0530] "GET /my-fashion-app/images/footer/amazonpay.svg HTTP/1.1" 200 8763
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:44:07 +0530] "GET /my-fashion-app/images/footer/american-express.svg HTTP/1.1" 200 12734
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:44:07 +0530] "GET /my-fashion-app/images/footer/paypal.svg HTTP/1.1" 200 5586
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:44:07 +0530] "GET /my-fashion-app/images/footer/mastercard.svg HTTP/1.1" 200 12102
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:44:07 +0530] "GET /my-fashion-app/images/footer/visa.svg HTTP/1.1" 200 3371
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:44:07 +0530] "GET /my-fashion-app/images/footer/appstore-btn.svg HTTP/1.1" 200 12812
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:44:07 +0530] "GET /my-fashion-app/images/footer/googleplay-btn.svg HTTP/1.1" 200 9502
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:44:08 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:45:04 +0530] "GET /my-fashion-app/wishlist.jsp HTTP/1.1" 200 30243
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:45:04 +0530] "GET /my-fashion-app/other/stylesheet.css?modified=20012009 HTTP/1.1" 200 5778
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:45:04 +0530] "GET /my-fashion-app/javascript/main.js HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:45:04 +0530] "GET /my-fashion-app/img/product/denime1.png HTTP/1.1" 200 129038
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:45:04 +0530] "GET /my-fashion-app/other/wishlist.css HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:45:04 +0530] "GET /my-fashion-app/img/product/co-ord1.png HTTP/1.1" 200 213589
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:45:04 +0530] "GET /my-fashion-app/img/product/denime2.png HTTP/1.1" 200 114712
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:45:04 +0530] "GET /my-fashion-app/img/product/dress1.png HTTP/1.1" 200 237084
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:45:04 +0530] "GET /my-fashion-app/images/footer/amazonpay.svg HTTP/1.1" 200 8763
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:45:04 +0530] "GET /my-fashion-app/images/footer/american-express.svg HTTP/1.1" 200 12734
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:45:04 +0530] "GET /my-fashion-app/images/footer/paypal.svg HTTP/1.1" 200 5586
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:45:04 +0530] "GET /my-fashion-app/images/footer/googleplay-btn.svg HTTP/1.1" 200 9502
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:45:04 +0530] "GET /my-fashion-app/images/footer/visa.svg HTTP/1.1" 200 3371
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:45:04 +0530] "GET /my-fashion-app/images/footer/appstore-btn.svg HTTP/1.1" 200 12812
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:45:04 +0530] "GET /my-fashion-app/images/footer/mastercard.svg HTTP/1.1" 200 12102
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:45:05 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:47:02 +0530] "GET /my-fashion-app/wishlist.jsp HTTP/1.1" 200 30243
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:47:02 +0530] "GET /my-fashion-app/other/stylesheet.css?modified=20012009 HTTP/1.1" 200 5778
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:47:02 +0530] "GET /my-fashion-app/javascript/main.js HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:47:02 +0530] "GET /my-fashion-app/img/product/denime1.png HTTP/1.1" 200 129038
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:47:02 +0530] "GET /my-fashion-app/img/product/co-ord1.png HTTP/1.1" 200 213589
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:47:02 +0530] "GET /my-fashion-app/other/wishlist.css HTTP/1.1" 200 95
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:47:02 +0530] "GET /my-fashion-app/img/product/denime2.png HTTP/1.1" 200 114712
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:47:02 +0530] "GET /my-fashion-app/img/product/dress1.png HTTP/1.1" 200 237084
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:47:02 +0530] "GET /my-fashion-app/images/footer/amazonpay.svg HTTP/1.1" 200 8763
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:47:02 +0530] "GET /my-fashion-app/images/footer/american-express.svg HTTP/1.1" 200 12734
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:47:02 +0530] "GET /my-fashion-app/images/footer/paypal.svg HTTP/1.1" 200 5586
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:47:02 +0530] "GET /my-fashion-app/images/footer/mastercard.svg HTTP/1.1" 200 12102
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:47:02 +0530] "GET /my-fashion-app/images/footer/visa.svg HTTP/1.1" 200 3371
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:47:02 +0530] "GET /my-fashion-app/images/footer/appstore-btn.svg HTTP/1.1" 200 12812
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:47:02 +0530] "GET /my-fashion-app/images/footer/googleplay-btn.svg HTTP/1.1" 200 9502
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:47:03 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:47:33 +0530] "GET /my-fashion-app/wishlist.jsp HTTP/1.1" 200 30179
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:47:33 +0530] "GET /my-fashion-app/other/stylesheet.css?modified=20012009 HTTP/1.1" 200 5778
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:47:33 +0530] "GET /my-fashion-app/javascript/main.js HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:47:33 +0530] "GET /my-fashion-app/other/wishlist.css HTTP/1.1" 200 95
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:47:33 +0530] "GET /my-fashion-app/img/product/denime1.png HTTP/1.1" 200 129038
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:47:33 +0530] "GET /my-fashion-app/img/product/co-ord1.png HTTP/1.1" 200 213589
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:47:33 +0530] "GET /my-fashion-app/img/product/dress1.png HTTP/1.1" 200 237084
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:47:33 +0530] "GET /my-fashion-app/img/product/denime2.png HTTP/1.1" 200 114712
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:47:33 +0530] "GET /my-fashion-app/images/footer/amazonpay.svg HTTP/1.1" 200 8763
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:47:33 +0530] "GET /my-fashion-app/images/footer/american-express.svg HTTP/1.1" 200 12734
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:47:33 +0530] "GET /my-fashion-app/images/footer/visa.svg HTTP/1.1" 200 3371
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:47:33 +0530] "GET /my-fashion-app/images/footer/mastercard.svg HTTP/1.1" 200 12102
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:47:33 +0530] "GET /my-fashion-app/images/footer/paypal.svg HTTP/1.1" 200 5586
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:47:33 +0530] "GET /my-fashion-app/images/footer/appstore-btn.svg HTTP/1.1" 200 12812
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:47:33 +0530] "GET /my-fashion-app/images/footer/googleplay-btn.svg HTTP/1.1" 200 9502
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:47:33 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:53:59 +0530] "GET /my-fashion-app/wishlist.jsp HTTP/1.1" 200 30219
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:54:00 +0530] "GET /my-fashion-app/other/stylesheet.css?modified=20012009 HTTP/1.1" 200 5778
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:54:00 +0530] "GET /my-fashion-app/javascript/main.js HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:54:00 +0530] "GET /my-fashion-app/img/product/denime1.png HTTP/1.1" 200 129038
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:54:00 +0530] "GET /my-fashion-app/other/wishlist.css HTTP/1.1" 200 485
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:54:00 +0530] "GET /my-fashion-app/img/product/co-ord1.png HTTP/1.1" 200 213589
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:54:00 +0530] "GET /my-fashion-app/img/product/dress1.png HTTP/1.1" 200 237084
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:54:00 +0530] "GET /my-fashion-app/img/product/denime2.png HTTP/1.1" 200 114712
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:54:00 +0530] "GET /my-fashion-app/images/footer/amazonpay.svg HTTP/1.1" 200 8763
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:54:00 +0530] "GET /my-fashion-app/images/footer/american-express.svg HTTP/1.1" 200 12734
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:54:00 +0530] "GET /my-fashion-app/images/footer/paypal.svg HTTP/1.1" 200 5586
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:54:00 +0530] "GET /my-fashion-app/images/footer/mastercard.svg HTTP/1.1" 200 12102
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:54:00 +0530] "GET /my-fashion-app/images/footer/visa.svg HTTP/1.1" 200 3371
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:54:00 +0530] "GET /my-fashion-app/images/footer/appstore-btn.svg HTTP/1.1" 200 12812
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:54:00 +0530] "GET /my-fashion-app/images/footer/googleplay-btn.svg HTTP/1.1" 200 9502
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:54:01 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [07/Jul/2024:18:54:12 +0530] "GET /my-fashion-app/addtocart.jsp HTTP/1.1" 200 26923
0:0:0:0:0:0:0:1 - - [07/Jul/2024:19:10:29 +0530] "GET /my-fashion-app/addtocart.jsp HTTP/1.1" 200 26972
0:0:0:0:0:0:0:1 - - [07/Jul/2024:19:10:29 +0530] "GET /my-fashion-app/other/stylesheet.css?modified=20012009 HTTP/1.1" 200 5778
0:0:0:0:0:0:0:1 - - [07/Jul/2024:19:10:29 +0530] "GET /my-fashion-app/javascript/main.js HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [07/Jul/2024:19:10:29 +0530] "GET /my-fashion-app/images/footer/american-express.svg HTTP/1.1" 200 12734
0:0:0:0:0:0:0:1 - - [07/Jul/2024:19:10:29 +0530] "GET /my-fashion-app/other/addtocart.css HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [07/Jul/2024:19:10:29 +0530] "GET /my-fashion-app/images/footer/amazonpay.svg HTTP/1.1" 200 8763
0:0:0:0:0:0:0:1 - - [07/Jul/2024:19:10:29 +0530] "GET /my-fashion-app/images/footer/paypal.svg HTTP/1.1" 200 5586
0:0:0:0:0:0:0:1 - - [07/Jul/2024:19:10:29 +0530] "GET /my-fashion-app/images/footer/mastercard.svg HTTP/1.1" 200 12102
0:0:0:0:0:0:0:1 - - [07/Jul/2024:19:10:29 +0530] "GET /my-fashion-app/images/footer/visa.svg HTTP/1.1" 200 3371
0:0:0:0:0:0:0:1 - - [07/Jul/2024:19:10:29 +0530] "GET /my-fashion-app/javascript/cart.js HTTP/1.1" 200 4205
0:0:0:0:0:0:0:1 - - [07/Jul/2024:19:10:29 +0530] "GET /my-fashion-app/img/product/co-ord1.png HTTP/1.1" 200 213589
0:0:0:0:0:0:0:1 - - [07/Jul/2024:19:10:29 +0530] "GET /my-fashion-app/img/product/dress1.png HTTP/1.1" 200 237084
0:0:0:0:0:0:0:1 - - [07/Jul/2024:19:10:29 +0530] "GET /my-fashion-app/img/product/dress2.png HTTP/1.1" 200 228797
0:0:0:0:0:0:0:1 - - [07/Jul/2024:19:10:29 +0530] "GET /my-fashion-app/images/footer/appstore-btn.svg HTTP/1.1" 200 12812
0:0:0:0:0:0:0:1 - - [07/Jul/2024:19:10:29 +0530] "GET /my-fashion-app/images/footer/googleplay-btn.svg HTTP/1.1" 200 9502
0:0:0:0:0:0:0:1 - - [07/Jul/2024:19:10:30 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [07/Jul/2024:19:12:47 +0530] "GET /my-fashion-app/addtocart.jsp HTTP/1.1" 200 26972
0:0:0:0:0:0:0:1 - - [07/Jul/2024:19:12:47 +0530] "GET /my-fashion-app/other/stylesheet.css?modified=20012009 HTTP/1.1" 200 5778
0:0:0:0:0:0:0:1 - - [07/Jul/2024:19:12:47 +0530] "GET /my-fashion-app/javascript/main.js HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [07/Jul/2024:19:12:47 +0530] "GET /my-fashion-app/images/footer/american-express.svg HTTP/1.1" 200 12734
0:0:0:0:0:0:0:1 - - [07/Jul/2024:19:12:47 +0530] "GET /my-fashion-app/other/addtocart.css HTTP/1.1" 200 789
0:0:0:0:0:0:0:1 - - [07/Jul/2024:19:12:47 +0530] "GET /my-fashion-app/images/footer/amazonpay.svg HTTP/1.1" 200 8763
0:0:0:0:0:0:0:1 - - [07/Jul/2024:19:12:47 +0530] "GET /my-fashion-app/images/footer/paypal.svg HTTP/1.1" 200 5586
0:0:0:0:0:0:0:1 - - [07/Jul/2024:19:12:47 +0530] "GET /my-fashion-app/images/footer/mastercard.svg HTTP/1.1" 200 12102
0:0:0:0:0:0:0:1 - - [07/Jul/2024:19:12:47 +0530] "GET /my-fashion-app/images/footer/visa.svg HTTP/1.1" 200 3371
0:0:0:0:0:0:0:1 - - [07/Jul/2024:19:12:47 +0530] "GET /my-fashion-app/javascript/cart.js HTTP/1.1" 200 4205
0:0:0:0:0:0:0:1 - - [07/Jul/2024:19:12:47 +0530] "GET /my-fashion-app/img/product/co-ord1.png HTTP/1.1" 200 213589
0:0:0:0:0:0:0:1 - - [07/Jul/2024:19:12:47 +0530] "GET /my-fashion-app/img/product/dress1.png HTTP/1.1" 200 237084
0:0:0:0:0:0:0:1 - - [07/Jul/2024:19:12:47 +0530] "GET /my-fashion-app/img/product/dress2.png HTTP/1.1" 200 228797
0:0:0:0:0:0:0:1 - - [07/Jul/2024:19:12:47 +0530] "GET /my-fashion-app/images/footer/appstore-btn.svg HTTP/1.1" 200 12812
0:0:0:0:0:0:0:1 - - [07/Jul/2024:19:12:47 +0530] "GET /my-fashion-app/images/footer/googleplay-btn.svg HTTP/1.1" 200 9502
0:0:0:0:0:0:0:1 - - [07/Jul/2024:19:12:48 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [07/Jul/2024:19:13:30 +0530] "GET /my-fashion-app/function/saveWishlist.jsp?action=save&product_id=6 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jul/2024:19:13:30 +0530] "GET /my-fashion-app/product.jsp?category=all HTTP/1.1" 200 112777
0:0:0:0:0:0:0:1 - - [07/Jul/2024:19:13:33 +0530] "GET /my-fashion-app/addtocart.jsp HTTP/1.1" 200 26972
0:0:0:0:0:0:0:1 - - [07/Jul/2024:19:13:33 +0530] "GET /my-fashion-app/other/addtocart.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2024:19:15:19 +0530] "GET /my-fashion-app/addtocart.jsp HTTP/1.1" 200 26972
0:0:0:0:0:0:0:1 - - [07/Jul/2024:19:15:19 +0530] "GET /my-fashion-app/other/stylesheet.css?modified=20012009 HTTP/1.1" 200 5778
0:0:0:0:0:0:0:1 - - [07/Jul/2024:19:15:19 +0530] "GET /my-fashion-app/javascript/main.js HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [07/Jul/2024:19:15:19 +0530] "GET /my-fashion-app/images/footer/amazonpay.svg HTTP/1.1" 200 8763
0:0:0:0:0:0:0:1 - - [07/Jul/2024:19:15:19 +0530] "GET /my-fashion-app/images/footer/american-express.svg HTTP/1.1" 200 12734
